by,descendants,id,score,time,title,type,url
CharlesW,67,39820639,55,1711396824,Is GPT-4 a good data analyst? (2023),story,https://arxiv.org/abs/2305.15038
Josely,17,39818823,60,1711386756,OpenAI: Sora: First Impressions,story,https://openai.com/blog/sora-first-impressions
yawboakye,0,39805923,19,1711270906,The Expressive Power of Transformers with Chain of Thought (Revised),story,https://arxiv.org/abs/2310.07923
tipsytoad,33,39793250,122,1711131237,DenseFormer: Enhancing Information Flow in Transformers,story,https://arxiv.org/abs/2402.02622
EndXA,1,39794118,24,1711136817,Finding Little Albert (2011),story,https://www.bps.org.uk/psychologist/looking-back-finding-little-albert
billybuckwheat,57,39782876,192,1711047381,Jan: An open source alternative to ChatGPT that runs on the desktop,story,https://jan.ai/
PaulHoule,0,39800181,3,1711204139,Simulating Weighted Automata over Sequences and Trees with Transformers,story,https://arxiv.org/abs/2403.09728
giuliomagnifico,1,39818564,8,1711385499,ChatGPT linked to declining academic performance and memory loss in new study,story,https://www.psypost.org/chatgpt-linked-to-declining-academic-performance-and-memory-loss-in-new-study/
isaacfrond,6,39813798,17,1711354583,Microsoft reuses its OpenAI playbook with Inflection takeover,story,https://www.theverge.com/2024/3/22/24109260/microsoft-openai-playbook-inflection-ai
geox,24,39809861,30,1711309943,Gemini on the iPhone would be AI's mainstream moment,story,https://www.cnet.com/tech/mobile/google-gemini-on-the-iphone-would-be-ais-mainstream-moment/
sherlockxu,4,39786943,48,1711075239,Navigating the World of Large Language Models,story,https://www.bentoml.com/blog/navigating-the-world-of-large-language-models
CharlesW,124,39809177,156,1711305273,"GPT-4, without specialized training, beat a GPT-3.5 class model that cost $10M",story,https://www.threads.net/@ethan_mollick/post/C46AfItO8RS
mfiguiere,0,39822589,1,1711410390,Learning the greatest common divisor: explaining transformer predictions,story,https://arxiv.org/abs/2308.15594
geox,0,39822004,1,1711406046,"Quality, Accuracy, and Bias in ChatGPT-Based Summarization of Medical Abstracts",story,https://www.annfammed.org/content/22/2/113
CharlesW,0,39820679,1,1711397046,What Should Data Science Education Do with Large Language Models?,story,https://arxiv.org/abs/2307.02792
CharlesW,67,39820639,55,1711396824,Is GPT-4 a good data analyst? (2023),story,https://arxiv.org/abs/2305.15038
vnglst,1,39820430,3,1711395336,"I asked ChatGPT to write the code to print ""Hello, world "" as a junior developer",story,https://hachyderm.io/@vnglst/112135583244850791
agcat,0,39820264,2,1711394292,"LLMs Tokens/Second Benchmark ( Mistral, Llama2, Gemma) – Independent Research",story,https://www.inferless.com/learn/exploring-llms-speed-benchmarks-independent-analysis
rntn,0,39819816,1,1711391952,Epistemology of Language Models: Do Language Models Have Holistic Knowledge?,story,https://arxiv.org/abs/2403.12862
importantbrian,0,39819808,1,1711391918,Building and testing C extensions for SQLite with ChatGPT Code Interpreter,story,https://simonw.substack.com/p/building-and-testing-c-extensions
Josely,18,39818823,60,1711386756,OpenAI: Sora: First Impressions,story,https://openai.com/blog/sora-first-impressions
swyx,0,39818597,4,1711385664,The Unbundling of ChatGPT,story,https://www.latent.space/p/feb-2024
giuliomagnifico,1,39818564,8,1711385499,ChatGPT linked to declining academic performance and memory loss in new study,story,https://www.psypost.org/chatgpt-linked-to-declining-academic-performance-and-memory-loss-in-new-study/
Anon84,0,39818400,5,1711384655,Large Language Models: A Survey,story,https://arxiv.org/abs/2402.06196
thunderbong,1,39817802,2,1711381600,ChatGPT 4 is worse than 3.5,story,https://community.openai.com/t/chatgpt-4-is-worse-than-3-5/588078
synergy20,0,39816988,1,1711377970,Building and testing C extensions for SQLite with ChatGPT Code Interpreter,story,https://simonwillison.net/2024/Mar/23/building-c-extensions-for-sqlite-with-chatgpt-code-interpreter/
Capstanlqc,0,39816920,1,1711377656,Alibaba Researchers Probe Large Language Models for E-Commerce Translation,story,https://slator.com/alibaba-researchers-probe-large-language-models-e-commerce-translation/
billybuckwheat,57,39782876,192,1711047381,Jan: An open source alternative to ChatGPT that runs on the desktop,story,https://jan.ai/
CharlesW,124,39809177,156,1711305273,"GPT-4, without specialized training, beat a GPT-3.5 class model that cost $10M",story,https://www.threads.net/@ethan_mollick/post/C46AfItO8RS
tipsytoad,33,39793250,122,1711131237,DenseFormer: Enhancing Information Flow in Transformers,story,https://arxiv.org/abs/2402.02622
tanyongsheng,132,39788590,103,1711097044,OpenAI GPT-4 vs. Groq Mistral-8x7B,story,https://serpapi.com/blog/openai-gpt-4-vs-groq-mistral/
baalimago,3,39805484,6,1711262367,Show HN: Clai – OpenAI models brought to the terminal,story,https://github.com/baalimago/clai
